Profundidade [m]	Densidade Aparente Seca [g/cm³]
5071.2344	2.3700900000000003
5071.3868	2.3673710000000003
5071.5392	2.3766149999999997
5071.6916	2.393033
5071.844	2.3994109999999997
5071.9964	2.4036049999999998
5072.1488	2.3794910000000002
5072.3012	2.3640999999999996
5072.4536	2.365856
5072.606	2.3843609999999997
5072.7584	2.392072
5072.9108	2.3911659999999997
5073.0632	2.4001170000000003
5073.2156	2.390603
5073.368	2.379318
5073.5204	2.3703089999999998
5073.6728	2.3701410000000003
5073.8252	2.3834120000000003
5073.9776	2.378632
5074.13	2.377465
5074.2824	2.3713830000000002
5074.4348	2.372647
5074.5872	2.390223
5074.7396	2.385785
5074.892	2.382069
5075.0444	2.374014
5075.1968	2.369893
5075.3492	2.362133
5075.5016	2.373096
5075.654	2.380864
5075.8064	2.387813
5075.9588	2.395895
5076.1112	2.3979860000000004
5076.2636	2.398089
5076.416	2.398826
5076.5684	2.393178
5076.7208	2.38969
5076.8732	2.3877249999999997
5077.0256	2.3797029999999997
5077.178	2.346949
5077.3304	2.333198
5077.4828	2.3490930000000003
5077.6352	2.365539
5077.7876	2.374517
5077.94	2.373577
5078.0924	2.366805
5078.2448	2.36716
5078.3972	2.3662710000000002
5078.5496	2.370475
5078.702	2.380779
5078.8544	2.403686
5079.0068	2.428648
5079.1592	2.424648
5079.3116	2.398033
5079.464	2.389614
5079.6164	2.3795390000000003
5079.7688	2.3721330000000003
5079.9212	2.373862
5080.0736	2.363357
5080.226	2.378919
5080.3784	2.384858
5080.5308	2.3812800000000003
5080.6832	2.372503
5080.8356	2.360272
5080.988	2.3634589999999998
5081.1404	2.3717620000000004
5081.2928	2.3876
5081.4452	2.386103
5081.5976	2.3974800000000003
5081.75	2.3970949999999998
5081.9024	2.376066
5082.0548	2.3775530000000002
5082.2072	2.369758
5082.3596	2.3698569999999997
5082.512	2.3843910000000004
5082.6644	2.38037
5082.8168	2.392496
5082.9692	2.403238
5083.1216	2.4167959999999997
5083.274	2.400569
5083.4264	2.380013
5083.5788	2.351648
5083.7312	2.3280990000000004
