Profundidade COT IH IO OF_class
5341.9816 1.091212 340.569816 104.242703 1
5342.4816 0.579829 462.214559 55.311447 1
5342.9816 0.889163 366.205243 93.930925 2
5343.4816 1.410973 305.436766 118.374874 1
5343.9816 1.149674 325.902122 110.142742 1
5344.4816 1.97861 274.668433 131.057881 1
5344.9816 1.960555 273.824892 131.489445 1
5345.4816 1.89014 274.815943 131.701775 1
5345.9816 1.331024 315.450018 114.347071 1
5346.4816 1.757324 287.860096 128.319662 1
5346.9816 0.502737 493.238895 42.831995 1
5347.4816 1.142468 328.393857 109.140449 1
5347.9816 0.528858 479.618784 48.310646 2
5348.4816 0.930259 360.545965 96.207353 2
5348.9816 2.291936 308.30848 117.272966 1
5349.4816 2.138951 367.193056 93.53358 2
5349.9816 1.152598 503.688252 38.62877 1
5350.4816 1.975784 387.224669 85.47592 1
5350.9816 2.056419 386.775567 85.656569 1
5351.4816 1.576995 449.813156 60.299876 1
5351.9816 1.532275 465.724636 53.899529 1
5352.4816 1.977842 414.44769 74.525536 2
5352.9816 1.7746 445.76425 61.928538 2
5353.4816 1.511222 496.223985 41.631251 1
5353.9816 1.722522 468.698324 52.703371 1
5354.4816 2.91628 365.115582 94.67868 2
5354.9816 2.104747 434.177775 66.589165 2
5355.4816 2.866685 378.707816 88.9018 2
5355.9816 2.850649 384.424209 86.602397 2
5356.4816 3.076261 374.585854 90.845554 2
5356.9816 1.786372 504.890676 38.145099 2
5357.4816 2.868693 397.485983 81.348335 2
5357.9816 3.120402 386.51952 85.759564 2
5358.4816 3.213629 383.892316 87.18541 2
5358.9816 3.306586 384.097025 86.856717 2
5359.4816 3.356909 385.699719 86.16346 2
5359.9816 3.381773 388.112721 85.255976 2
5360.4816 3.376634 391.531503 84.074692 2
5360.9816 3.428916 392.92392 83.455439 2
5361.4816 3.058673 421.145693 71.831283 2
5361.9816 3.497152 398.257982 81.037801 2
5362.4816 3.360856 410.018772 76.307056 2
5362.9816 2.36797 500.577437 39.880087 1
5363.4816 2.864423 454.547052 58.39568 2
5363.9816 2.576069 487.439944 45.164607 2
5364.4816 3.758142 402.85076 79.235964 2
5364.9816 3.729209 406.792994 77.919246 4
