Profundidade [m]	Densidade Aparente Seca [g/cm³]
5414.8964	2.517176
5415.0488	2.490151
5415.2012	2.496015
5415.3536	2.541284
5415.506	2.555941
5415.6584	2.551387
5415.8108	2.536112
5415.9632	2.530101
5416.1156	2.542177
5416.268	2.517232
5416.4204	2.453487
5416.5728	2.3078290000000004
5416.7252	2.1910819999999998
5416.8776	2.118901
5417.03	2.136205
5417.1824	2.220454
5417.3348	2.291759
5417.4872	2.3830069999999997
5417.6396	2.434209
5417.792	2.463919
5417.9444	2.464067
5418.0968	2.407426
5418.2492	2.27156
5418.4016	2.217996
5418.554	2.2066559999999997
5418.7064	2.200376
5418.8588	2.20686
5419.0112	2.234606
5419.1636	2.316008
5419.316	2.355813
5419.4684	2.374289
5419.6208	2.364764
5419.7732	2.3027100000000003
5419.9256	2.244146
5420.078	2.224582
5420.2304	2.272823
5420.3828	2.356956
5420.5352	2.390487
5420.6876	2.357869
5420.84	2.310689
5420.9924	2.277504
5421.1448	2.262594
5421.2972	2.2710510000000004
5421.4496	2.255209
5421.602	2.210654
5421.7544	2.176303
5421.9068	2.179024
5422.0592	2.208431
5422.2116	2.221012
5422.364	2.253196
5422.5164	2.267726
5422.6688	2.271329
5422.8212	2.269365
5422.9736	2.26604
5423.126	2.273327
5423.2784	2.266597
5423.4308	2.271336
5423.5832	2.331614
5423.7356	2.3827800000000003
5423.888	2.461498
5424.0404	2.5126370000000002
5424.1928	2.546326
5424.3452	2.5592829999999998
5424.4976	2.570007
5424.65	2.569521
5424.8024	2.552818
5424.9548	2.445006
5425.1072	2.348982
5425.2596	2.272587
5425.412	2.2434570000000003
5425.5644	2.1534459999999997
5425.7168	2.1310330000000004
5425.8692	2.17029
5426.0216	2.201855
5426.174	2.204216
5426.3264	2.232085
5426.4788	2.310828
5426.6312	2.311135
5426.7836	2.190791
5426.936	2.138629
5427.0884	2.125877
5427.2408	2.1472759999999997
5427.3932	2.180697
5427.5456	2.196965
5427.698	2.174723
5427.8504	2.065539
5428.0028	2.032172
5428.1552	2.134339
5428.3076	2.1892620000000003
5428.46	2.15353
5428.6124	2.0865080000000003
5428.7648	2.03191
5428.9172	2.039563
5429.0696	2.062894
5429.222	2.089826
