Profundidade[m]	Fracao_de_Areia[%]
2933.3672	94.00922034
2933.5196	92.71472772
2933.672	92.66864775
2933.8244	92.90594515
2933.9768	94.37955082
2934.1292	94.81086431
2934.2816	94.38928901
2934.434	94.38784237
2934.5864	95.25460307
2934.7388	92.07755914
2934.8912	89.07486914
2935.0436	90.7391524
2935.196	94.37264888
2935.3484	94.23603926
2935.5008	93.558807
2935.6532	93.69035768
2935.8056	93.8009636
2935.958	92.03178097
2936.1104	91.65588062
2936.2628	93.0254712
2936.4152	95.03292891
2936.5676	96.91123011
2936.72	96.17550916
2936.8724	96.37630647
2937.0248	95.70071536
2937.1772	92.20595151
2937.3296	91.27760724
2937.482	94.29300526
2937.6344	95.65753339
2937.7868	95.21855973
2937.9392	94.55279299
2938.0916	93.87856837
2938.244	94.76078896
2938.3964	96.16872458
2938.5488	94.0786525
2938.7012	93.31032326
2938.8536	95.71283615
2939.006	97.40219031
2939.1584	96.37082077
2939.3108	96.15730834
2939.4632	96.94246029
2939.6156	97.59394614
2939.768	96.92672116
2939.9204	96.42005183
2940.0728	96.79004673
2940.2252	96.20137135
2940.3776	94.02159937
2940.53	93.57083901
2940.6824	93.94274553
2940.8348	94.50198642
2940.9872	96.47670079
2941.1396	96.92169516
2941.292	95.67619236
2941.4444	95.01492316
2941.5968	96.14699322
2941.7492	98.14946238
2941.9016	99.4447984
2942.054	97.01453675
2942.2064	95.99581422
2942.3588	95.89233013
2942.5112	94.96396124
2942.6636	93.55937734
2942.816	94.51723112
2942.9684	95.36891148
2943.1208	95.68784186
2943.2732	95.63875622
2943.4256	96.00544017
2943.578	97.13754521
2943.7304	97.84193733
2943.8828	96.57608536
2944.0352	96.76210959
2944.1876	97.62844923
2944.34	95.19349501
2944.4924	95.75967298
2944.6448	98.03176551
2944.7972	98.6973441
2944.9496	98.28900035
2945.102	98.72846983
2945.2544	98.90008667
