Profundidade[m]	Idade[Ma]
5235.5216	87.384959
5235.674	87.3889389
5235.8264	87.3929187
5235.9788	87.3968986
5236.1312	87.4008785
5236.2836	87.4048583
5236.436	87.4088382
5236.5884	87.4128181
5236.7408	87.416798
5236.8932	87.4207778
5237.0456	87.4247577
5237.198	87.4287376
5237.3504	87.4327175
5237.5028	87.4366973
5237.6552	87.4406772
5237.8076	87.4446571
5237.96	87.4486369
5238.1124	87.4526168
5238.2648	87.4565967
5238.4172	87.4605766
5238.5696	87.4645564
5238.722	87.4685363
5238.8744	87.4725162
5239.0268	87.4764961
5239.1792	87.4804759
5239.3316	87.4844558
5239.484	87.4884357
5239.6364	87.4924155
5239.7888	87.4963954
5239.9412	87.5003753
5240.0936	87.5043552
5240.246	87.508335
5240.3984	87.5123149
5240.5508	87.5162948
5240.7032	87.5202746
5240.8556	87.5242545
5241.008	87.5282344
5241.1604	87.5322143
5241.3128	87.5361941
5241.4652	87.540174
5241.6176	87.5441539
5241.77	87.5481338
5241.9224	87.5521136
5242.0748	87.5560935
5242.2272	87.5600734
5242.3796	87.5640532
5242.532	87.5680331
5242.6844	87.572013
5242.8368	87.5759929
5242.9892	87.5799727
5243.1416	87.5839526
5243.294	87.5879325
5243.4464	87.5919124
5243.5988	87.5958922
5243.7512	87.5998721
5243.9036	87.603852
5244.056	87.6078318
5244.2084	87.6118117
5244.3608	87.6157916
5244.5132	87.6197715
5244.6656	87.6237513
5244.818	87.6277312
5244.9704	87.6317111
5245.1228	87.635691
5245.2752	87.6396708
5245.4276	87.6436507
5245.58	87.6476306
5245.7324	87.6516104
5245.8848	87.6555903
5246.0372	87.6595702
5246.1896	87.6635501
5246.342	87.6675299
5246.4944	87.6715098
5246.6468	87.6754897
5246.7992	87.6794696
5246.9516	87.6834494
5247.104	87.6874293
5247.2564	87.6914092
5247.4088	87.695389
5247.5612	87.6993689
5247.7136	87.7033488
5247.866	87.7073287
5248.0184	87.7113085
5248.1708	87.7152884
5248.3232	87.7192683
5248.4756	87.7232482
5248.628	87.727228
5248.7804	87.7312079
5248.9328	87.7351878
5249.0852	87.7391676
5249.2376	87.7431475
5249.39	87.7471274
5249.5424	87.7511073
5249.6948	87.7550871
5249.8472	87.759067
5249.9996	87.7630469
5250.152	87.7670268
5250.3044	87.7710066
5250.4568	87.7749865
5250.6092	87.7789664
5250.7616	87.7829462
